sample	Source Species	Serotype
18-012180-172	Chicken	Typhimurium
18-012180-174	Pig	Heidelberg
18-012180-175	Pig	"4,[5],12:i:-"
18-012180-176	Pig	"4,[5],12:i:-"
18-012180-182	Pig	Typhimurium
18-012180-183	Cattle	Heidelberg
18-012180-184	Pig	"4,[5],12:i:-"
18-012180-186	Duck	Typhimurium
18-012180-187	Pig	"4,[5],12:i:-"
18-012180-188	Pig	Typhimurium
18-012180-190	Horse	Typhimurium
18-012180-192	Turkey	"4,[5],12:i:-"
18-012180-194	Chicken	Typhimurium
18-012180-195	Pig	Typhimurium
18-012180-196	Pig	"4,[5],12:i:-"
18-012180-198	Cat	"4,[5],12:i:-"
18-012180-199	Horse	Typhimurium
18-012180-200	Dog	"4,[5],12:i:-"
18-012180-202	Chicken	Typhimurium
18-012180-203	Chicken	Typhimurium
18-012180-204	Chicken	Typhimurium
18-012180-205	Chicken	Typhimurium
18-012180-206	Chicken	Typhimurium
18-012180-207	Pig	Typhimurium
18-012180-209	Pig	Heidelberg
18-012180-210	Cattle	Heidelberg
18-012180-211	Pig	Heidelberg
18-012180-212	Cattle	Heidelberg
18-012180-213	Horse	Typhimurium
18-012180-214	Cattle	Heidelberg
18-012180-216	Horse	Typhimurium
18-012180-218	Goat	Infantis
18-012180-219	Horse	Typhimurium
18-012180-220	Turkey	"4,[5],12:i:-"
18-012180-221	Pig	Typhimurium
18-012180-222	Cattle	Typhimurium
18-012180-226	Cattle	"4,[5],12:i:-"
18-012180-233	Pig	Typhimurium
18-012180-234	Pig	"4,[5],12:i:-"
18-012180-235	Pig	"4,[5],12:i:-"
18-012180-246	Pig	"4,[5],12:i:-"
18-012180-248	Cattle	Heidelberg
18-012180-250	Pig	Typhimurium
18-012180-251	Horse	"4,[5],12:i:-"
18-012180-252	Pig	"4,[5],12:i:-"
18-012180-257	Horse	Typhimurium
18-012180-259	Horse	Typhimurium
18-012180-262	Pig	"4,[5],12:i:-"
18-012180-264	Pig	"4,[5],12:i:-"
18-012180-265	Pig	Heidelberg
18-012180-266	Pig	Heidelberg
18-012180-272	Horse	Typhimurium
18-012180-273	Horse	Typhimurium
18-012180-274	Cattle	"4,[5],12:i:-"
18-012180-275	Dog	Typhimurium
18-012180-277	Cattle	Heidelberg
18-012180-278	Pig	"4,[5],12:i:-"
18-012180-279	Cattle	Heidelberg
18-012180-281	Sheep	"4,[5],12:i:-"
18-012180-284	Chicken	"4,[5],12:i:-"
18-012180-287	Horse	Typhimurium
18-012180-288	Pig	"4,[5],12:i:-"
18-012180-289	Pig	Heidelberg
18-012180-290	Cattle	Heidelberg
18-012180-291	Chicken	"4,[5],12:i:-"
18-012180-295	Chicken	Typhimurium
18-012180-300	Pig	Infantis
18-012180-302	Goat	Typhimurium
18-012180-305	Horse	Infantis
18-012180-306	Pig	Typhimurium
18-012180-307	Cattle	Heidelberg
18-012180-309	Dog	Typhimurium
18-012180-311	Cattle	"4,[5],12:i:-"
18-012180-312	Turkey	Heidelberg
18-012180-313	Pig	Infantis
18-012180-315	Cattle	Heidelberg
18-012180-316	Pig	"4,[5],12:i:-"
18-012180-317	Pig	Heidelberg
18-012180-318	Pig	Heidelberg
18-012180-329	Cattle	Heidelberg
18-012180-330	Cattle	Typhimurium
18-012180-333	Horse	"4,[5],12:i:-"
18-012180-335	Pig	Typhimurium
18-012180-336	Cattle	Heidelberg
18-012180-340	Cattle	Heidelberg
18-012180-347	Chicken	Typhimurium
18-012180-348	Cattle	Heidelberg
18-012180-349	Horse	"4,[5],12:i:-"
18-012180-352	Chicken	Typhimurium
18-012180-355	Cattle	Heidelberg
18-012180-356	Pig	Heidelberg
18-012180-357	Pig	Heidelberg
18-012180-358	Cattle	Heidelberg
18-012180-359	Pig	Infantis
